job_title,task
Public Health GIS Analyst,"Inform health professionals, property owners, and the public about harmful properties and related problems of water pollution and contaminated wastewater."
Public Health GIS Analyst,Investigate health-related complaints and inspect facilities to ensure that they comply with public health legislation and regulations.
Associate Geologist/Scientist/Engineer,"Record laboratory or field data, including numerical data, test results, photographs, or summaries of visual observations."
Associate Geologist/Scientist/Engineer,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation."
Associate Geologist/Scientist/Engineer,"Analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government."
Associate Geologist/Scientist/Engineer,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources."
Associate Geologist/Scientist/Engineer,Maintain input or data quality of risk management systems.
Associate Geologist/Scientist/Engineer,"Map data between source systems, data warehouses, and data marts."
Associate Geologist/Scientist/Engineer,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies."
Associate Geologist/Scientist/Engineer,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media."
Associate Geologist/Scientist/Engineer,"Collect and analyze data to evaluate the effectiveness of academic programs and other services, such as behavioral management systems."
Associate Geologist/Scientist/Engineer,"Prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications."
Associate Geologist/Scientist/Engineer,"Conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems."
Associate Geologist/Scientist/Engineer,"Design, implement, or operate comprehensive data warehouse systems to balance optimization of data access with batch loading and resource utilization factors, according to customer requirements."
Associate Geologist/Scientist/Engineer,Create data management or error-checking procedures and user manuals.
Associate Geologist/Scientist/Engineer,Prepare functional or technical documentation for data warehouses.
Associate Geologist/Scientist/Engineer,Write technical reports and draw charts that display statistics and data.
Food Distribution Specialist (Data Analyst),"Study economic and statistical data in area of specialization, such as finance, labor, or agriculture."
Food Distribution Specialist (Data Analyst),"Create, analyze, report, convert, or transfer data, using specialized applications program software."
Food Distribution Specialist (Data Analyst),"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation."
Food Distribution Specialist (Data Analyst),"Analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government."
Food Distribution Specialist (Data Analyst),Identify and report problems in obtaining valid data.
Food Distribution Specialist (Data Analyst),"Collect, synthesize, analyze, manage, and report environmental data, such as pollution emission measurements, atmospheric monitoring measurements, meteorological or mineralogical information, or soil or water samples."
Food Distribution Specialist (Data Analyst),"Gather data on competitors and analyze their prices, sales, and method of marketing and distribution."
Food Distribution Specialist (Data Analyst),"Compile, analyze, and report data to explain economic phenomena and forecast market trends, applying mathematical models and statistical techniques."
Food Distribution Specialist (Data Analyst),"Develop educational materials and programs for community agencies, local government, and state government."
Food Distribution Specialist (Data Analyst),Write technical reports and draw charts that display statistics and data.
Food Distribution Specialist (Data Analyst),"Collect and report information on populations or conditions of fish and wildlife in their habitats, availability of game food or cover, or suspected pollution."
Food Distribution Specialist (Data Analyst),"Compile and report meteorological data, such as temperature, relative humidity, wind direction and velocity, and types of cloud formations."
Food Distribution Specialist (Data Analyst),Distribute compiled geodetic data to government agencies or the general public.
Food Distribution Specialist (Data Analyst),"Draw rough and detailed scale plans for foundations, buildings, and structures, based on preliminary concepts, sketches, engineering calculations, specification sheets, and other data."
Food Distribution Specialist (Data Analyst),"Grade food products according to government regulations or according to type, color, bouquet, and moisture content."
Food Distribution Specialist (Data Analyst),"Inspect food processing areas to ensure compliance with government regulations and standards for sanitation, safety, quality, and waste management."
Summer Intern,"Record test procedures and results, numerical and graphical data, and recommendations for changes in product or test methods."
Summer Intern,Determine data collection methods to be employed in research projects or surveys.
Summer Intern,"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews."
Summer Intern,"Identify relationships and trends in data, as well as any factors that could affect the results of research."
Summer Intern,"Analyze research data to determine its significance, using computers."
Summer Intern,"Collect, synthesize, analyze, manage, and report environmental data, such as pollution emission measurements, atmospheric monitoring measurements, meteorological or mineralogical information, or soil or water samples."
Summer Intern,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents."
Summer Intern,Search scientific literature to select and modify methods and procedures most appropriate for genetic research goals.
Summer Intern,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
Summer Intern,"Plan or direct development or communication of programs to maintain favorable public or stockholder perceptions of an organization's accomplishments, agenda, or environmental responsibility."
Summer Intern,"Devise and evaluate methods and procedures for collecting data, such as surveys, opinion polls, or questionnaires, or arrange to obtain existing data."
Summer Intern,"Locate and review research articles or environmental, historical, or technical reports."
Summer Intern,"Select methods, techniques, or criteria for data warehousing evaluative procedures."
Summer Intern,"Prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications."
Summer Intern,Review scientific proposals and research papers.
Summer Intern,"Conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors."
Summer Intern,"Research, evaluate, and prepare recommendations on curricula, instructional methods, and materials for school systems."
Summer Intern,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires."
Summer Intern,"Prepare and deliver lectures to undergraduate or graduate students on topics such as research methods, urban anthropology, and language and culture."
Seasonal GIS Preprofessional,"Analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government."
Seasonal GIS Preprofessional,Determine data collection methods to be employed in research projects or surveys.
Seasonal GIS Preprofessional,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software."
Seasonal GIS Preprofessional,"Perform various data entry or word processing tasks, such as updating phone directories, typing or proofreading documents, or creating schedules."
Seasonal GIS Preprofessional,"Develop educational materials and programs for community agencies, local government, and state government."
Seasonal GIS Preprofessional,"Analyze geospatial data to determine agricultural implications of factors such as soil quality, terrain, field productivity, fertilizers, or weather conditions."
Seasonal GIS Preprofessional,Apply three-dimensional (3D) or four-dimensional (4D) technologies to geospatial data to allow for new or different analyses or applications.
Seasonal GIS Preprofessional,Calibrate data collection equipment.
Seasonal GIS Preprofessional,"Collect geospatial data, using technologies such as aerial photography, light and radio wave detection systems, digital satellites, or thermal energy systems."
Seasonal GIS Preprofessional,"Compile water resource data, using geographic information systems (GIS) or global position systems (GPS) software."
Seasonal GIS Preprofessional,"Conduct research, data analysis, systems design, or support for software such as Geographic Information Systems (GIS) or Global Positioning Systems (GPS) mapping software."
Seasonal GIS Preprofessional,"Coordinate or implement technical, financial, or administrative assistance programs for local government units to ensure efficient program implementation or timely responses to requests for assistance."
Seasonal GIS Preprofessional,"Create visual representations of geospatial data, using complex procedures such as analytical modeling, three-dimensional renderings, or plot creation."
Seasonal GIS Preprofessional,Define or recommend model specifications or data collection methods.
Seasonal GIS Preprofessional,"Demonstrate the applications of geospatial technology, such as Global Positioning System (GPS), geographic information systems (GIS), automatic tractor guidance systems, variable rate chemical input applicators, surveying equipment, or computer mapping software."
Seasonal GIS Preprofessional,"Design or develop new equipment or methods for meteorological data collection, remote sensing, or related applications."
Seasonal GIS Preprofessional,"Design or implement strategies for collection, analysis, or display of geographic data."
Seasonal GIS Preprofessional,"Develop formal documentation for microelectromechanical systems (MEMS) devices, including quality assurance guidance, quality control protocols, process control checklists, data collection, or reporting."
GIS Technician,"Record laboratory or field data, including numerical data, test results, photographs, or summaries of visual observations."
GIS Technician,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation."
GIS Technician,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources."
GIS Technician,Determine data collection methods to be employed in research projects or surveys.
GIS Technician,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve."
GIS Technician,Maintain input or data quality of risk management systems.
GIS Technician,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software."
GIS Technician,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies."
GIS Technician,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media."
GIS Technician,"Collect and analyze data to evaluate the effectiveness of academic programs and other services, such as behavioral management systems."
GIS Technician,"Conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems."
GIS Technician,"Develop or maintain standards, such as organization, structure, or nomenclature, for the design of data warehouse elements, such as data architectures, models, tools, and databases."
GIS Technician,Create data management or error-checking procedures and user manuals.
GIS Technician,"Analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans."
GIS Technician,"Analyze geospatial data to determine agricultural implications of factors such as soil quality, terrain, field productivity, fertilizers, or weather conditions."
GIS Technician,Apply three-dimensional (3D) or four-dimensional (4D) technologies to geospatial data to allow for new or different analyses or applications.
GIS Technician,Calibrate data collection equipment.
Energy Analyst,"Code data prior to computer entry, using lists of codes."
Energy Analyst,"Collect data about the attitudes, values, and behaviors of people in groups, using observation, interviews, and review of documents."
Energy Analyst,"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation."
Energy Analyst,"Read source documents such as canceled checks, sales reports, or bills, and enter data in specific data fields or onto tapes or disks for subsequent entry, using keyboards or scanners."
Energy Analyst,"Review, classify, and record survey data in preparation for computer analysis."
Energy Analyst,Code data in preparation for computer entry.
Energy Analyst,"Use data entry devices, such as optical scanners, to input data into computers for revision or editing."
Energy Analyst,"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures."
Energy Analyst,"Compile, log, or record testing or operational data for review and further analysis."
Energy Analyst,"Implement scanning or other automated data entry procedures, using imaging devices and document imaging software."
Energy Analyst,"Prepare data analysis listings and activity, performance, or progress reports."
Energy Analyst,"Perform complex calculations as part of the analysis and evaluation of data, using computers."
Energy Analyst,"Electronically sort and compile text and numerical data, retrieving, updating, and merging documents as required."
Energy Analyst,"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews."
Energy Analyst,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
Energy Analyst,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents."
Energy Analyst,Design and create special programs for tasks such as statistical analysis and data entry and cleaning.
Sustainability Intern (Summer 2026),"Collect data about the attitudes, values, and behaviors of people in groups, using observation, interviews, and review of documents."
Sustainability Intern (Summer 2026),"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation."
Sustainability Intern (Summer 2026),"Review, classify, and record survey data in preparation for computer analysis."
Sustainability Intern (Summer 2026),"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures."
Sustainability Intern (Summer 2026),"Compile, log, or record testing or operational data for review and further analysis."
Sustainability Intern (Summer 2026),"Prepare data analysis listings and activity, performance, or progress reports."
Sustainability Intern (Summer 2026),"Analyze and evaluate security operations to identify risks or opportunities for improvement through auditing, review, or assessment."
Sustainability Intern (Summer 2026),"Perform complex calculations as part of the analysis and evaluation of data, using computers."
Sustainability Intern (Summer 2026),"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews."
Sustainability Intern (Summer 2026),"Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
Sustainability Intern (Summer 2026),"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders."
Sustainability Intern (Summer 2026),Design and create special programs for tasks such as statistical analysis and data entry and cleaning.
Sustainability Intern (Summer 2026),"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement."
Sustainability Intern (Summer 2026),"Process large amounts of data for statistical modeling and graphic analysis, using computers."
Sustainability Intern (Summer 2026),"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
Sustainability Intern (Summer 2026),"Review financial statements, sales or activity reports, or other performance data to identify opportunities for cost reductions or service improvements."
Sustainability Intern (Summer 2026),"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software."
Sustainability Intern (Summer 2026),"Review operating practices and procedures to determine whether improvements can be made in areas such as workflow, reporting procedures, or expenditures."
Sustainability Intern (Summer 2026),"Advise clients or colleagues on topics such as climate control systems, energy modeling, data logging, sustainable design, or energy auditing."
GIS Data Analyst,"Collect and analyze survey data, regulatory information, and demographic and employment trends to forecast enrollment patterns and the need for curriculum changes."
GIS Data Analyst,"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation."
GIS Data Analyst,"Input data, such as file numbers, new or updated information, or document information codes into computer systems to support document and information retrieval."
GIS Data Analyst,"Review, classify, and record survey data in preparation for computer analysis."
GIS Data Analyst,"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures."
GIS Data Analyst,"Compile, log, or record testing or operational data for review and further analysis."
GIS Data Analyst,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation."
GIS Data Analyst,"Prepare data analysis listings and activity, performance, or progress reports."
GIS Data Analyst,"Analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government."
GIS Data Analyst,"Perform complex calculations as part of the analysis and evaluation of data, using computers."
GIS Data Analyst,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources."
GIS Data Analyst,Monitor use of data files and regulate access to safeguard information in computer files.
GIS Data Analyst,"Monitor fundamental economic, industrial, and corporate developments by analyzing information from financial publications and services, investment banking firms, government agencies, trade publications, company sources, or personal interviews."
GIS Data Analyst,"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve."
GIS Data Analyst,"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews."
Senior Environmental Specialist (Data Management),"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation."
Senior Environmental Specialist (Data Management),"Locate files relating to specified design project in database library, load program into computer, and record completed job data."
Senior Environmental Specialist (Data Management),"Review, classify, and record survey data in preparation for computer analysis."
Senior Environmental Specialist (Data Management),"Monitor operations to ensure that staff members comply with administrative policies and procedures, safety rules, union contracts, environmental policies, or government regulations."
Senior Environmental Specialist (Data Management),"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures."
Senior Environmental Specialist (Data Management),"Compile, log, or record testing or operational data for review and further analysis."
Senior Environmental Specialist (Data Management),Compile and analyze data obtained from monitoring or diagnostic tests.
Senior Environmental Specialist (Data Management),"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation."
Senior Environmental Specialist (Data Management),"Prepare data analysis listings and activity, performance, or progress reports."
Senior Environmental Specialist (Data Management),"Analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government."
Senior Environmental Specialist (Data Management),"Perform complex calculations as part of the analysis and evaluation of data, using computers."
Senior Environmental Specialist (Data Management),"Extend existing software programs, web-based interactive tools, or database queries as sequence management and analysis needs evolve."
Senior Environmental Specialist (Data Management),"Use computers for various applications, such as database management or word processing."
Senior Environmental Specialist (Data Management),"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews."
Senior Environmental Specialist (Data Management),Maintain input or data quality of risk management systems.
Senior Environmental Specialist (Data Management),"Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
Senior Environmental Specialist (Data Management),"Collect, synthesize, analyze, manage, and report environmental data, such as pollution emission measurements, atmospheric monitoring measurements, meteorological or mineralogical information, or soil or water samples."
Lab Technician (Biology/Environmental Studies),"Advise students on academic and vocational curricula, career issues, and laboratory and field research."
Lab Technician (Biology/Environmental Studies),"Conduct research in a particular field of knowledge and publish findings in books, professional journals, or electronic media."
Lab Technician (Biology/Environmental Studies),"Conduct research in a particular field of knowledge and publish findings in scholarly journals, books, or electronic media."
Lab Technician (Biology/Environmental Studies),Conduct own research in field of expertise.
Lab Technician (Biology/Environmental Studies),"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
Lab Technician (Biology/Environmental Studies),"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media."
Lab Technician (Biology/Environmental Studies),"Locate and review research articles or environmental, historical, or technical reports."
Lab Technician (Biology/Environmental Studies),"Conduct research in a particular field of knowledge and present findings in professional journals, books, electronic media, or at professional conferences."
Lab Technician (Biology/Environmental Studies),"Read current literature, talk with colleagues, continue education, or participate in professional organizations or conferences to keep abreast of developments in the field."
Lab Technician (Biology/Environmental Studies),Conduct ethnographic field research.
Lab Technician (Biology/Environmental Studies),"Conduct field investigations, surveys, impact studies, or other research to compile and analyze data on economic, social, regulatory, or physical factors affecting land use."
Lab Technician (Biology/Environmental Studies),"Conduct harsh environmental testing, accelerated aging, device characterization, or field trials to validate devices, using inspection tools, testing protocols, peripheral instrumentation, or modeling and simulation software."
Plant Systems and Field Scientist,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.
Plant Systems and Field Scientist,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
Plant Systems and Field Scientist,"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems."
Plant Systems and Field Scientist,"Analyze data acquired from aircraft, satellites, or ground-based platforms, using statistical analysis software, image analysis software, or Geographic Information Systems (GIS)."
Plant Systems and Field Scientist,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering."
Plant Systems and Field Scientist,Apply coatings or operate systems to mitigate corrosion of geothermal plant equipment or structures.
Plant Systems and Field Scientist,"Collect geospatial data, using technologies such as aerial photography, light and radio wave detection systems, digital satellites, or thermal energy systems."
Plant Systems and Field Scientist,"Collect information about soil or field attributes, yield data, or field boundaries, using field data recorders and basic geographic information systems (GIS)."
Plant Systems and Field Scientist,"Conduct research, data analysis, systems design, or support for software such as Geographic Information Systems (GIS) or Global Positioning Systems (GPS) mapping software."
Plant Systems and Field Scientist,Coordinate vulnerability assessments or analysis of information security systems.
Plant Systems and Field Scientist,Create chromosome images using computer imaging systems.
Plant Systems and Field Scientist,"Create visualizations to illustrate historical or future changes in the Earth's climate, using paleoclimate or climate geographic information systems (GIS) databases."
Plant Systems and Field Scientist,"Design automated robotic systems to increase production volume or precision in high-throughput operations, such as automated ribonucleic acid (RNA) analysis or sorting, moving, or stacking production materials."
Plant Systems and Field Scientist,Design measurement and control systems for chemical plants based on data collected in laboratory experiments and in pilot plant operations.
Plant Systems and Field Scientist,"Design or coordinate design of photovoltaic (PV) or solar thermal systems, including system components, for residential and commercial buildings."
Plant Systems and Field Scientist,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design."
Plant Systems and Field Scientist,"Determine taxability of properties, using methods such as field inspection, structural measurement, calculation, sales analysis, market trend studies, and income and expense analysis."
Plant Systems and Field Scientist,"Develop manufacturing methods, labor utilization standards, and cost analysis systems to promote efficient staff and facility utilization."
Environmental Scientist II,"Record laboratory or field data, including numerical data, test results, photographs, or summaries of visual observations."
Environmental Scientist II,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation."
Environmental Scientist II,Maintain input or data quality of risk management systems.
Environmental Scientist II,"Collect, synthesize, analyze, manage, and report environmental data, such as pollution emission measurements, atmospheric monitoring measurements, meteorological or mineralogical information, or soil or water samples."
Environmental Scientist II,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies."
Environmental Scientist II,"Collect and analyze data to evaluate the effectiveness of academic programs and other services, such as behavioral management systems."
Environmental Scientist II,"Design, implement, or operate comprehensive data warehouse systems to balance optimization of data access with batch loading and resource utilization factors, according to customer requirements."
Environmental Scientist II,Create data management or error-checking procedures and user manuals.
Environmental Scientist II,"Analyze aerial photographs to detect and interpret significant military, industrial, resource, or topographical data."
Environmental Scientist II,Analyze and maintain data logs for audio-visual activities.
Environmental Scientist II,"Analyze data on conditions such as site location, drainage, or structure location for environmental reports or landscaping plans."
Environmental Scientist II,"Analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects."
Environmental Scientist II,"Analyze ecological data about the impact of pollution, erosion, floods, and other environmental problems on bodies of water."
Environmental Scientist II,"Analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans."
Environmental Scientist II,"Apply remote sensing data or techniques, such as surface water modeling or dust cloud detection, to address environmental issues."
Environmental Scientist II,Apply traditional ecological knowledge and assessments of culturally distinctive land and resource management institutions to assist in the resolution of conflicts over habitat protection and resource enhancement.
Environmental Scientist II,"Assess archeological sites for resource management, development, or conservation purposes and recommend methods for site protection."
Environmental Scientist II,Collect and analyze data to compare the environmental implications of economic policy or practice alternatives.
Conservation Specialist,"Analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government."
Conservation Specialist,Determine data collection methods to be employed in research projects or surveys.
Conservation Specialist,Study documentation or other information for new scientific or technical products.
Conservation Specialist,"Collect, synthesize, analyze, manage, and report environmental data, such as pollution emission measurements, atmospheric monitoring measurements, meteorological or mineralogical information, or soil or water samples."
Conservation Specialist,"Conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers."
Conservation Specialist,"Prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications."
Conservation Specialist,"Perform various data entry or word processing tasks, such as updating phone directories, typing or proofreading documents, or creating schedules."
Conservation Specialist,Prepare functional or technical documentation for data warehouses.
Conservation Specialist,"Provide scientific or technical guidance or expertise to scientists, engineers, technologists, technicians, or others, using knowledge of chemical, analytical, or biological processes as applied to micro and nanoscale systems."
Conservation Specialist,Write technical reports and draw charts that display statistics and data.
Conservation Specialist,"Analyze data to determine validity, quality, and scientific significance and to interpret correlations between human activities and environmental effects."
Conservation Specialist,"Analyze ecological data about the impact of pollution, erosion, floods, and other environmental problems on bodies of water."
Conservation Specialist,"Answer technical questions from hydrologists, policymakers, or other customers developing water conservation plans."
Conservation Specialist,"Apply remote sensing data or techniques, such as surface water modeling or dust cloud detection, to address environmental issues."
Conservation Specialist,Calibrate data collection equipment.
Conservation Specialist,Collect and analyze water samples as part of field investigations or to validate data from automatic monitors.
Conservation Specialist,"Collect data for energy conservation analyses, using jobsite observation, field inspections, or sub-metering."
Conservation Specialist,"Collect information about soil or field attributes, yield data, or field boundaries, using field data recorders and basic geographic information systems (GIS)."
Small Farms Advisor,"Collect data relating to commercial or residential development, population, or power system interconnection to determine operating efficiency of electrical systems."
Small Farms Advisor,"Conduct research in a particular field of knowledge and publish findings in books, professional journals, or electronic media."
Small Farms Advisor,"Conduct research in a particular field of knowledge and publish findings in scholarly journals, books, or electronic media."
Small Farms Advisor,"Conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic."
Small Farms Advisor,Conduct research to generate new knowledge that can be used to address learning and behavior issues.
Small Farms Advisor,"Develop or maintain applications that process biologically based data into searchable databases for purposes of analysis, calculation, or presentation."
Small Farms Advisor,"Input data, such as file numbers, new or updated information, or document information codes into computer systems to support document and information retrieval."
Small Farms Advisor,"Locate files relating to specified design project in database library, load program into computer, and record completed job data."
Small Farms Advisor,"Study economic and statistical data in area of specialization, such as finance, labor, or agriculture."
Small Farms Advisor,"Review, classify, and record survey data in preparation for computer analysis."
Small Farms Advisor,"Create, analyze, report, convert, or transfer data, using specialized applications program software."
Small Farms Advisor,"Perform system analysis, data analysis or programming, using a variety of computer languages and procedures."
Small Farms Advisor,"Compile, log, or record testing or operational data for review and further analysis."
Small Farms Advisor,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.
Small Farms Advisor,"Implement controls to provide security for operating systems, software, and data."
Small Farms Advisor,"Prepare data analysis listings and activity, performance, or progress reports."
Small Farms Advisor,"Perform complex calculations as part of the analysis and evaluation of data, using computers."
Small Farms Advisor,Determine data collection methods to be employed in research projects or surveys.
Seasonal Field Steward,"Record laboratory or field data, including numerical data, test results, photographs, or summaries of visual observations."
Seasonal Field Steward,Record test data and document fabrication techniques on reports.
Seasonal Field Steward,"Prepare and present summaries and analyses of survey data, including tables, graphs, and fact sheets that describe survey techniques and results."
Seasonal Field Steward,"Collect business intelligence data from available industry reports, public information, field reports, or purchased sources."
Seasonal Field Steward,Determine data collection methods to be employed in research projects or surveys.
Seasonal Field Steward,"Compile, analyze, and report data to explain economic phenomena and forecast market trends, applying mathematical models and statistical techniques."
Seasonal Field Steward,"Select methods, techniques, or criteria for data warehousing evaluative procedures."
Seasonal Field Steward,"Conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems."
Seasonal Field Steward,"Analyze climate data sets, using techniques such as geophysical fluid dynamics, data assimilation, or numerical modeling."
Seasonal Field Steward,"Analyze geospatial data to determine agricultural implications of factors such as soil quality, terrain, field productivity, fertilizers, or weather conditions."
Seasonal Field Steward,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering."
Seasonal Field Steward,"Analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques."
Seasonal Field Steward,"Apply remote sensing data or techniques, such as surface water modeling or dust cloud detection, to address environmental issues."
Seasonal Field Steward,Calibrate data collection equipment.
Seasonal Field Steward,Collect and analyze data to determine environmental conditions and restoration needs.
Seasonal Field Steward,Collect and analyze field data related to energy usage.
Seasonal Field Steward,Collect and analyze water samples as part of field investigations or to validate data from automatic monitors.
Seasonal Field Steward,"Collect data for energy conservation analyses, using jobsite observation, field inspections, or sub-metering."
Seasonal Field Steward,"Collect information about soil or field attributes, yield data, or field boundaries, using field data recorders and basic geographic information systems (GIS)."
Project Management & GIS Specialist,"Locate files relating to specified design project in database library, load program into computer, and record completed job data."
Project Management & GIS Specialist,"Interview prospective clients to obtain data about their financial resources and needs, the physical condition of the person or property to be insured, and to discuss any existing coverage."
Project Management & GIS Specialist,"Interpret data on logistics elements, such as availability, maintainability, reliability, supply chain management, strategic sourcing or distribution, supplier management, or transportation."
Project Management & GIS Specialist,Prepare reports and document project activities and data.
Project Management & GIS Specialist,Determine data collection methods to be employed in research projects or surveys.
Project Management & GIS Specialist,Maintain input or data quality of risk management systems.
Project Management & GIS Specialist,"Identify relationships and trends in data, as well as any factors that could affect the results of research."
Project Management & GIS Specialist,"Conduct threat or vulnerability analyses to determine probable frequency, criticality, consequence, or severity of natural or man-made disasters or criminal activity on the organization's profitability or delivery of products or services."
Project Management & GIS Specialist,"Review project activities and prepare and review research, testing, or operational reports."
Project Management & GIS Specialist,"Analyze research data to determine its significance, using computers."
Project Management & GIS Specialist,"Plan or conduct market or public opinion research to test products or determine potential for product success, communicating results to client or management."
Project Management & GIS Specialist,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents."
Project Management & GIS Specialist,"Perform computer programming, data analysis, or software development for Geographic Information Systems (GIS) applications, including the maintenance of existing systems or research and development for future enhancements."
Project Management & GIS Specialist,"Perform geospatial data building, modeling, or analysis, using advanced spatial analysis, data manipulation, or cartography software."
Project Management & GIS Specialist,"Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies."
Project Management & GIS Specialist,"Collect and analyze data to evaluate the effectiveness of academic programs and other services, such as behavioral management systems."
Project Management & GIS Specialist,"Prepare technical reports, data summary documents, or research articles for scientific publication, regulatory submissions, or patent applications."
Project Management & GIS Specialist,"Provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties."
Environmental Education Intern,"Monitor operations to ensure that staff members comply with administrative policies and procedures, safety rules, union contracts, environmental policies, or government regulations."
